,nta_name,nta_code,nta_population,percent_white,percent_black,percent_latino,percent_asian,tree_count,tree_ratio,tree_ratio_rounded,borough,majority_group
0,Claremont-Bathgate,BX01,35560,1,37.3,60.6,0.1,1706,4.8,5,Bronx,Latino/Hispanic
1,Eastchester-Edenwald-Baychester,BX03,37887,3.1,66,24.6,4.2,2629,6.94,7,Bronx,Black
2,Bedford Park-Fordham North,BX05,57685,4.2,15.6,75,3.8,1821,3.16,3,Bronx,Latino/Hispanic
3,Belmont,BX06,29115,18.2,16.3,61,2.1,1637,5.62,6,Bronx,Latino/Hispanic
4,Bronxdale,BX07,39423,13.9,26.1,54.9,2.9,1550,3.93,4,Bronx,Latino/Hispanic
5,West Farms-Bronx River,BX08,36014,2.7,26.6,65.8,2.8,1623,4.51,5,Bronx,Latino/Hispanic
6,Soundview-Castle Hill-Clason Point-Harding Park,BX09,54925,2.7,34.1,60.4,1.3,3819,6.95,7,Bronx,Latino/Hispanic
7,Pelham Bay-Country Club-City Island,BX10,26877,49.4,4.3,41.4,3.7,3196,11.89,12,Bronx,White
8,Co-op City,BX13,47400,6.6,59.2,28.3,2.3,2103,4.44,4,Bronx,Black
9,East Concourse-Concourse Village,BX14,64850,1.6,31.2,63.3,1.4,2498,3.85,4,Bronx,Latino/Hispanic
10,East Tremont,BX17,44057,1.4,28.3,68.8,0.7,2593,5.89,6,Bronx,Latino/Hispanic
11,North Riverdale-Fieldston-Riverdale,BX22,27551,61.8,8.9,21.6,5.1,2019,7.33,7,Bronx,White
12,Highbridge,BX26,39140,2.5,32.1,64.3,0.5,1979,5.06,5,Bronx,Latino/Hispanic
13,Hunts Point,BX27,26196,1.7,26.5,70.7,0.4,3521,13.44,13,Bronx,Latino/Hispanic
14,Van Cortlandt Village,BX28,50935,8,16.1,69.7,3.7,2399,4.71,5,Bronx,Latino/Hispanic
15,Spuyten Duyvil-Kingsbridge,BX29,31295,45.7,8.2,38.7,4.9,2017,6.45,6,Bronx,White
16,Kingsbridge Heights,BX30,32163,3.5,15.6,75.7,2.3,1184,3.68,4,Bronx,Latino/Hispanic
17,Allerton-Pelham Gardens,BX31,31993,21,31,36.3,9.8,3843,12.01,12,Bronx,Latino/Hispanic
18,Longwood,BX33,27864,1.7,25.7,69.9,1.5,1572,5.64,6,Bronx,Latino/Hispanic
19,Melrose South-Mott Haven North,BX34,42882,1.7,30.4,65.6,0.6,2156,5.03,5,Bronx,Latino/Hispanic
20,Morrisania-Melrose,BX35,40925,1.2,38.2,58.3,1,2330,5.69,6,Bronx,Latino/Hispanic
21,University Heights-Morris Heights,BX36,56293,1.1,27.8,68.9,1.5,2002,3.56,4,Bronx,Latino/Hispanic
22,Van Nest-Morris Park-Westchester Square,BX37,29004,24.3,11.8,51.5,10,3143,10.84,11,Bronx,Latino/Hispanic
23,Mott Haven-Port Morris,BX39,54163,1.9,28,68.8,0.4,2517,4.65,5,Bronx,Latino/Hispanic
24,Fordham South,BX40,28164,0.7,25.3,71.6,0.4,1060,3.76,4,Bronx,Latino/Hispanic
25,Mount Hope,BX41,53198,1.3,26.4,69,1.4,2051,3.86,4,Bronx,Latino/Hispanic
26,Norwood,BX43,42227,9.7,13.5,63.5,10.7,1981,4.69,5,Bronx,Latino/Hispanic
27,Williamsbridge-Olinville,BX44,66606,2.4,68.3,26.4,1.3,3371,5.06,5,Bronx,Black
28,Parkchester,BX46,30372,2,40.3,38.2,16.2,790,2.6,3,Bronx,Black
29,Pelham Parkway,BX49,28913,30.7,13.9,43.4,10,2312,8,8,Bronx,Latino/Hispanic
30,Schuylerville-Throgs Neck-Edgewater Park,BX52,46810,36.3,9.6,49.2,3.4,5023,10.73,11,Bronx,Latino/Hispanic
31,Soundview-Bruckner,BX55,37130,3,21.5,63.9,8.7,1921,5.17,5,Bronx,Latino/Hispanic
32,Westchester-Unionport,BX59,28302,4.3,17.7,59.9,13.8,2820,9.96,10,Bronx,Latino/Hispanic
33,Woodlawn-Wakefield,BX62,43858,15.1,58.5,17.8,5.1,4083,9.31,9,Bronx,Black
34,West Concourse,BX63,38081,2,22.1,71.2,2.1,2142,5.62,6,Bronx,Latino/Hispanic
35,Crotona Park East,BX75,22103,0.8,29.6,67.6,1.6,1546,6.99,7,Bronx,Latino/Hispanic
36,Rikers Island,BX98,7080,7.6,56.3,32.9,1.8,,0,0,Bronx,Black
38,Brooklyn Heights-Cobble Hill,BK09,24168,72.6,5.8,7.3,9.3,1767,7.31,7,Brooklyn,White
39,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17,65631,62.4,6.5,9.2,19.8,5321,8.11,8,Brooklyn,White
40,Brighton Beach,BK19,34431,71.2,0.7,10.7,13.8,1281,3.72,4,Brooklyn,White
41,Seagate-Coney Island,BK21,32259,31.7,29.2,27.9,8.7,1454,4.51,5,Brooklyn,White
42,West Brighton,BK23,16774,92.6,1.7,3.9,0.8,481,2.87,3,Brooklyn,White
43,Homecrest,BK25,45007,72.8,1.9,11.8,9.8,4247,9.44,9,Brooklyn,White
44,Gravesend,BK26,30587,44.2,7.5,20.9,23.3,1412,4.62,5,Brooklyn,White
45,Bath Beach,BK27,33020,41.2,1.1,18.1,37.1,1818,5.51,6,Brooklyn,White
46,Bensonhurst West,BK28,90847,38.6,0.9,16.8,41.9,4258,4.69,5,Brooklyn,Asian
47,Bensonhurst East,BK29,65502,42.1,1,13.5,41,3348,5.11,5,Brooklyn,White
48,Dyker Heights,BK30,43888,43.7,0.9,13.7,40.4,3248,7.4,7,Brooklyn,White
